id,course,lecture_date,instructor,subject,question_num,question_text,answer
001,신입사원교육,2024-01-15,김강사,통신 기초,1,강의가 도움이 되었나요?,강의 내용이 체계적이고 이해하기 쉬웠어요
002,신입사원교육,2024-01-15,김강사,통신 기초,1,강의가 도움이 되었나요?,실무에 바로 적용할 수 있는 내용이 좋았어요
003,신입사원교육,2024-01-15,김강사,통신 기초,1,강의가 도움이 되었나요?,강사님 설명이 명확하고 이해하기 좋았습니다
004,신입사원교육,2024-01-15,김강사,통신 기초,2,강사의 강의 방식은 만족하나요?,강사님이 학생 반응을 잘 봐주셨어요
005,신입사원교육,2024-01-15,김강사,통신 기초,2,강사의 강의 방식은 만족하나요?,진행 속도가 적절했고 이해하기 쉬웠어요
006,신입사원교육,2024-01-15,김강사,통신 기초,3,이 강의를 개선할 점은?,실습 시간을 더 많이 주면 좋겠어요
007,신입사원교육,2024-01-15,김강사,통신 기초,3,이 강의를 개선할 점은?,실무 예제가 더 많으면 좋겠습니다
008,리더십과정,2024-01-16,이강사,고객응대,1,강의가 도움이 되었나요?,너무 빨리 진행되어 따라가기 어려웠어요
009,리더십과정,2024-01-16,이강사,고객응대,1,강의가 도움이 되었나요?,실제 사례 중심이라 실용적이었어요
010,리더십과정,2024-01-16,이강사,고객응대,2,강사의 강의 방식은 만족하나요?,사례 중심으로 설명해주셔서 이해가 잘 됐어요
011,리더십과정,2024-01-16,이강사,고객응대,2,강사의 강의 방식은 만족하나요?,강사님의 경험담이 도움이 되었어요
012,리더십과정,2024-01-16,이강사,고객응대,3,이 강의를 개선할 점은?,진행 속도를 조금 늦춰주세요
013,리더십과정,2024-01-16,이강사,고객응대,3,이 강의를 개선할 점은?,질문할 시간을 더 주면 좋겠어요
014,리더십과정,2024-01-17,박강사,시간관리,1,강의가 도움이 되었나요?,매우 실용적이고 바로 적용할 수 있었어요
015,리더십과정,2024-01-17,박강사,시간관리,1,강의가 도움이 되었나요?,체계적인 구성이 좋았습니다
016,리더십과정,2024-01-17,박강사,시간관리,2,강사의 강의 방식은 만족하나요?,강사님이 적극적으로 참여 유도해주셨어요
017,리더십과정,2024-01-17,박강사,시간관리,3,이 강의를 개선할 점은?,더 많은 사례를 알고 싶어요
018,신입사원교육,2024-01-18,이강사,커뮤니케이션,1,강의가 도움이 되었나요?,동료와의 소통 방법을 배울 수 있었어요
019,신입사원교육,2024-01-18,이강사,커뮤니케이션,1,강의가 도움이 되었나요?,매우 유익한 강의였습니다
020,신입사원교육,2024-01-18,이강사,커뮤니케이션,2,강사의 강의 방식은 만족하나요?,강사님의 설명이 이해하기 쉬웠어요
